Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	770.396 [0s]	6.87549 [0s]	8.01754 [0.3s]	0 [0s]	0 [0s]	82.8846 [1.8s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	12.3759 [0s]	6.32 [0s]	0 [0s]	-8 [0.3s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-638362 [2.4s]
Max	3563.94 [259.2s]	4949.92 [259.2s]	814.751 [259.2s]	6.87549 [0s]	10.1488 [0s]	0 [0s]	45.5834 [259.2s]	126.307 [0s]	5.68546 [259.2s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.747 [297s]	12.3759 [0s]	8 [0.3s]	0 [0s]	-6.32 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	296420 [6.9s]
Mean	3544.15	4922.43	812.568	6.87549	8.01966	0	45.3303	83.1904	5.65389	64.1403	8.72665	2.90888	178.502	12.3759	7.99833	0	-7.99833	0	0	0	0	0	0	0	0	-151577
Standard deviation	112.621	156.418	2.03476	nan	0.067295	0	1.44044	1.37183	0.179661	nan	1.89781e-06	nan	104.226	nan	0.0530468	0	0.0530468	0	0	0	0	0	0	0	0	256401
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
5.7	3553.63	4935.6	813.69	6.87549	8.01754	0	45.4515	83.2579	5.66901	64.1403	8.72665	2.90888	222.766	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-373736
6	3559.63	4943.94	814.422	6.87549	8.01754	0	45.5284	83.3328	5.6786	64.1403	8.72665	2.90888	235.142	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-167053
6.3	3559.61	4943.91	814.362	6.87549	8.01754	0	45.5281	83.3267	5.67856	64.1403	8.72665	2.90888	247.518	12.3759	8	0	-8	0	0	0	0	0	0	0	0	67496.1
6.6	3553.79	4935.82	813.54	6.87549	8.01754	0	45.4536	83.2426	5.66927	64.1403	8.72665	2.90888	259.894	12.3759	8	0	-8	0	0	0	0	0	0	0	0	244662
6.9	3544.3	4922.64	812.231	6.87549	8.01754	0	45.3322	83.1087	5.65413	64.1403	8.72665	2.90888	272.269	12.3759	8	0	-8	0	0	0	0	0	0	0	0	296420
7.2	3534.99	4909.71	810.943	6.87549	8.01754	0	45.2132	82.9768	5.63929	64.1403	8.72665	2.90888	284.645	12.3759	8	0	-8	0	0	0	0	0	0	0	0	197048
7.5	3530.17	4903.02	810.254	6.87549	8.01754	0	45.1515	82.9063	5.63159	64.1403	8.72665	2.90888	297.021	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-18687.9
7.8	3532.27	4905.93	810.498	6.87549	8.01754	0	45.1784	82.9313	5.63494	64.1403	8.72665	2.90888	309.397	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-261477
8.1	3540.44	4917.28	811.563	6.87549	8.01754	0	45.2828	83.0403	5.64797	64.1403	8.72665	2.90888	321.773	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-429667
8.4	3551.05	4932.01	812.96	6.87549	8.01754	0	45.4185	83.1832	5.6649	64.1403	8.72665	2.90888	334.149	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-460223
8.7	3559.79	4944.15	814.108	6.87549	8.01754	0	45.5303	83.3007	5.67884	64.1403	8.72665	2.90888	346.525	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-352716
9	3563.52	4949.33	814.601	6.87549	8.01754	0	45.578	83.3511	5.68479	64.1403	8.72665	2.90888	358.901	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-158713
9.3	3561.07	4945.93	814.282	6.87549	8.01754	0	45.5467	83.3185	5.68088	64.1403	8.72665	2.90888	11.2765	12.3759	8	0	-8	0	0	0	0	0	0	0	0	41687.7
9.6	3553.22	4935.04	813.254	6.87549	8.01754	0	45.4464	83.2134	5.66837	64.1403	8.72665	2.90888	23.6523	12.3759	8	0	-8	0	0	0	0	0	0	0	0	166296
9.9	3542.75	4920.49	811.872	6.87549	8.01754	0	45.3124	83.0719	5.65166	64.1403	8.72665	2.90888	36.0282	12.3759	8	0	-8	0	0	0	0	0	0	0	0	158414
10.2	3533.83	4908.1	810.69	6.87549	8.01754	0	45.1983	82.951	5.63743	64.1403	8.72665	2.90888	48.4041	12.3759	8	0	-8	0	0	0	0	0	0	0	0	9566
10.5	3530.41	4903.35	810.245	6.87549	8.01754	0	45.1546	82.9054	5.63198	64.1403	8.72665	2.90888	60.78	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-226047
10.8	3534.02	4908.37	810.747	6.87549	8.01754	0	45.2008	82.9568	5.63774	64.1403	8.72665	2.90888	73.1559	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-450424
11.1	3542.87	4920.66	811.957	6.87549	8.01754	0	45.314	83.0806	5.65186	64.1403	8.72665	2.90888	85.5318	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-569472
11.4	3552.91	4934.6	813.326	6.87549	8.01754	0	45.4424	83.2207	5.66787	64.1403	8.72665	2.90888	97.9076	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-539285
11.7	3559.95	4944.38	814.299	6.87549	8.01754	0	45.5324	83.3202	5.67911	64.1403	8.72665	2.90888	110.284	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-378690
