# Sensor: Rotor
# Record count: 1002
# Storage mode: Memory
# Datetime of save: 2026-03-07T10:43:35
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	0 [0s]	6.87549 [0s]	8.01754 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	12.3759 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-1.59256e-07 [265.5s]
Max	4447.96 [150.6s]	6177.73 [150.6s]	894.835 [150.6s]	6.87549 [0s]	8.01754 [0s]	2 [101.7s]	56.8903 [150.6s]	91.5608 [150.6s]	7.09572 [150.6s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.754 [297s]	12.3759 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	1.60187e-07 [290.4s]
Mean	3630.32	5042.11	806	6.87549	8.01754	0.325349	46.4325	82.471	5.79136	64.1403	8.72665	2.90888	178.535	12.3759	8	0	-8	0	0	0	0	0	0	0	0	3.15563e-09
Standard deviation	199.967	277.732	53.8036	1.5275e-06	3.61713e-07	0.738506	2.55761	5.50526	0.319002	2.89371e-06	nan	nan	104.274	nan	0	0	0	0	0	0	0	0	0	0	0	5.53756e-08
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	0	6.87549	8.01754	0	0	0	0	64.1403	8.72665	2.90888	0	12.3759	8	0	-8	0	0	0	0	0	0	0	0	0
0.3	3643.06	5059.81	823.488	6.87549	8.01754	0	46.5954	84.2605	5.81169	64.1403	8.72665	2.90888	0	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.30385e-08
0.6	3644.14	5061.3	823.739	6.87549	8.01754	0	46.6092	84.2861	5.8134	64.1403	8.72665	2.90888	12.3759	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-2.79397e-08
0.9	3644.08	5061.22	823.73	6.87549	8.01754	0	46.6084	84.2853	5.81331	64.1403	8.72665	2.90888	24.7518	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-8.9407e-08
1.2	3644.03	5061.16	823.724	6.87549	8.01754	0	46.6078	84.2846	5.81323	64.1403	8.72665	2.90888	37.1277	12.3759	8	0	-8	0	0	0	0	0	0	0	0	2.79397e-08
1.5	3643.99	5061.1	823.719	6.87549	8.01754	0	46.6073	84.2841	5.81317	64.1403	8.72665	2.90888	49.5036	12.3759	8	0	-8	0	0	0	0	0	0	0	0	2.04891e-08
1.8	3643.96	5061.05	823.714	6.87549	8.01754	0	46.6069	84.2836	5.81311	64.1403	8.72665	2.90888	61.8794	12.3759	8	0	-8	0	0	0	0	0	0	0	0	3.53903e-08
2.1	3643.92	5061.01	823.71	6.87549	8.01754	0	46.6064	84.2832	5.81306	64.1403	8.72665	2.90888	74.2553	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-1.49012e-08
2.4	3643.89	5060.96	823.707	6.87549	8.01754	0	46.6061	84.2829	5.81301	64.1403	8.72665	2.90888	86.6312	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.22935e-07
2.7	3643.87	5060.93	823.704	6.87549	8.01754	0	46.6057	84.2825	5.81297	64.1403	8.72665	2.90888	99.0071	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-4.28408e-08
3	3643.84	5060.89	823.701	6.87549	8.01754	0	46.6054	84.2823	5.81293	64.1403	8.72665	2.90888	111.383	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-4.47035e-08
3.3	3643.82	5060.86	823.698	6.87549	8.01754	0	46.6051	84.282	5.81289	64.1403	8.72665	2.90888	123.759	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-9.31323e-10
3.6	3643.79	5060.82	823.696	6.87549	8.01754	0	46.6048	84.2817	5.81285	64.1403	8.72665	2.90888	136.135	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-1.30385e-08
3.9	3643.77	5060.79	823.693	6.87549	8.01754	0	46.6045	84.2815	5.81282	64.1403	8.72665	2.90888	148.511	12.3759	8	0	-8	0	0	0	0	0	0	0	0	4.74975e-08
4.2	3643.75	5060.77	823.691	6.87549	8.01754	0	46.6042	84.2813	5.81278	64.1403	8.72665	2.90888	160.887	12.3759	8	0	-8	0	0	0	0	0	0	0	0	0
4.5	3643.73	5060.74	823.689	6.87549	8.01754	0	46.604	84.281	5.81275	64.1403	8.72665	2.90888	173.262	12.3759	8	0	-8	0	0	0	0	0	0	0	0	2.04891e-08
4.8	3643.71	5060.71	823.687	6.87549	8.01754	0	46.6037	84.2808	5.81272	64.1403	8.72665	2.90888	185.638	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.86265e-09
5.1	3643.69	5060.69	823.685	6.87549	8.01754	0	46.6035	84.2806	5.81269	64.1403	8.72665	2.90888	198.014	12.3759	8	0	-8	0	0	0	0	0	0	0	0	4.65661e-08
5.4	3643.68	5060.66	823.683	6.87549	8.01754	0	46.6033	84.2804	5.81266	64.1403	8.72665	2.90888	210.39	12.3759	8	0	-8	0	0	0	0	0	0	0	0	4.47035e-08
5.7	3643.66	5060.64	823.681	6.87549	8.01754	0	46.6031	84.2803	5.81264	64.1403	8.72665	2.90888	222.766	12.3759	8	0	-8	0	0	0	0	0	0	0	0	2.79397e-08
6	3643.64	5060.62	823.68	6.87549	8.01754	0	46.6029	84.2801	5.81261	64.1403	8.72665	2.90888	235.142	12.3759	8	0	-8	0	0	0	0	0	0	0	0	3.72529e-09
6.3	3643.63	5060.59	823.678	6.87549	8.01754	0	46.6027	84.2799	5.81259	64.1403	8.72665	2.90888	247.518	12.3759	8	0	-8	0	0	0	0	0	0	0	0	0
6.6	3643.61	5060.57	823.677	6.87549	8.01754	0	46.6025	84.2798	5.81256	64.1403	8.72665	2.90888	259.894	12.3759	8	0	-8	0	0	0	0	0	0	0	0	6.70552e-08
6.9	3643.6	5060.55	823.675	6.87549	8.01754	0	46.6023	84.2796	5.81254	64.1403	8.72665	2.90888	272.27	12.3759	8	0	-8	0	0	0	0	0	0	0	0	4.56348e-08
7.2	3643.59	5060.53	823.674	6.87549	8.01754	0	46.6021	84.2795	5.81252	64.1403	8.72665	2.90888	284.645	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-4.56348e-08
7.5	3643.57	5060.52	823.672	6.87549	8.01754	0	46.6019	84.2793	5.8125	64.1403	8.72665	2.90888	297.021	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-8.84756e-09
7.8	3643.56	5060.5	823.671	6.87549	8.01754	0	46.6018	84.2792	5.81248	64.1403	8.72665	2.90888	309.397	12.3759	8	0	-8	0	0	0	0	0	0	0	0	5.12227e-09
8.1	3643.55	5060.48	823.67	6.87549	8.01754	0	46.6016	84.279	5.81245	64.1403	8.72665	2.90888	321.773	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-6.51926e-09
8.4	3643.53	5060.46	823.668	6.87549	8.01754	0	46.6014	84.2789	5.81244	64.1403	8.72665	2.90888	334.149	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-5.58794e-08
8.7	3643.52	5060.45	823.667	6.87549	8.01754	0	46.6013	84.2788	5.81242	64.1403	8.72665	2.90888	346.525	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-3.91155e-08
9	3643.51	5060.43	823.666	6.87549	8.01754	0	46.6012	84.2787	5.8124	64.1403	8.72665	2.90888	358.901	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.30385e-08
9.3	3643.5	5060.42	823.665	6.87549	8.01754	0	46.601	84.2786	5.81238	64.1403	8.72665	2.90888	11.2767	12.3759	8	0	-8	0	0	0	0	0	0	0	0	5.58794e-09
9.6	3643.49	5060.4	823.664	6.87549	8.01754	0	46.6009	84.2784	5.81236	64.1403	8.72665	2.90888	23.6526	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-3.91155e-08
9.9	3643.48	5060.39	823.662	6.87549	8.01754	0	46.6007	84.2783	5.81235	64.1403	8.72665	2.90888	36.0285	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.08033e-07
10.2	3643.47	5060.37	823.661	6.87549	8.01754	0	46.6006	84.2782	5.81233	64.1403	8.72665	2.90888	48.4043	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-1.11759e-07
10.5	3643.46	5060.36	823.66	6.87549	8.01754	0	46.6005	84.2781	5.81232	64.1403	8.72665	2.90888	60.7802	12.3759	8	0	-8	0	0	0	0	0	0	0	0	1.49012e-08
10.8	3643.45	5060.35	823.659	6.87549	8.01754	0	46.6004	84.278	5.8123	64.1403	8.72665	2.90888	73.1561	12.3759	8	0	-8	0	0	0	0	0	0	0	0	2.79397e-08
11.1	3643.44	5060.33	823.658	6.87549	8.01754	0	46.6002	84.2779	5.81229	64.1403	8.72665	2.90888	85.532	12.3759	8	0	-8	0	0	0	0	0	0	0	0	4.47035e-08
11.4	3643.43	5060.32	823.658	6.87549	8.01754	0	46.6001	84.2778	5.81227	64.1403	8.72665	2.90888	97.9079	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-3.1665e-08
11.7	3643.42	5060.31	823.657	6.87549	8.01754	0	46.6	84.2777	5.81226	64.1403	8.72665	2.90888	110.284	12.3759	8	0	-8	0	0	0	0	0	0	0	0	5.58794e-09
