# Sensor: Rotor
# Record count: 404
# Storage mode: Memory
# Datetime of save: 2026-04-08T11:32:51
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	-119.365 [0.3s]	-238.729 [0.3s]	70.7173 [0.3s]	4.77465 [0.3s]	0 [0s]	0 [0s]	-1.52388 [0.3s]	7.22256 [0.3s]	-0.273446 [0.3s]	44.583 [0.3s]	7.6284 [36.6s]	2.5428 [36.6s]	0 [0s]	8.59437 [0.3s]	0 [0s]	-1.08502 [78s]	-9.73646 [108s]	-0.872607 [51.3s]	0 [0s]	0 [0s]	0 [0s]	-6.86923 [11.7s]	-0.0584166 [32.7s]	-0.0584166 [32.7s]	-0.0584166 [32.7s]	-2.97862e+06 [32.7s]
Max	5449.88 [20.7s]	8879.91 [2.1s]	1044.62 [30.9s]	7.86534 [36.6s]	10.4988 [34.2s]	0 [0s]	69.5764 [20.7s]	106.69 [30.9s]	10.1713 [2.1s]	73.4422 [36.6s]	12.5664 [0.3s]	4.18879 [0.3s]	359.818 [100.5s]	14.1576 [36.6s]	9.75665 [108s]	0.965077 [117.6s]	0 [0s]	0.722943 [34.2s]	0 [0s]	0 [0s]	0 [0s]	7.88664 [78s]	0.0578245 [114s]	0.0578245 [114s]	0.0578245 [114s]	3.24877e+06 [53.4s]
Mean	4151.94	5571.53	909.521	7.25151	8.3328	0	53.0062	92.892	6.38176	67.7105	8.44905	2.81635	174.547	13.0527	8.11828	-0.0564265	-8.10256	-0.0700216	0	0	0	0.342179	0.00034102	0.00034102	0.00034102	298719
Standard deviation	491.078	1132.4	110.104	0.903767	1.18638	0	6.2694	11.2452	1.29708	8.43887	1.41305	0.471015	103.994	1.62678	0.731752	0.409859	0.728836	0.289607	0	0	0	2.88026	0.0187787	0.0187787	0.0187787	1.2258e+06
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	931.999	4.77465	0	0	0	95.1877	0	44.583	12.5664	4.18879	0	8.59437	0	0	0	0	0	0	0	0	0	0	0	0
0.3	-119.365	-238.729	70.7173	4.77465	5.45567	0	-1.52388	7.22256	-0.273446	44.583	12.5664	4.18879	0	8.59437	8.17187	0.260169	-8.16443	0.231939	0	0	0	-1.82518	0	0	0	-0.00308913
0.6	4275.14	8550.28	620.571	4.77465	5.62588	0	54.5791	63.3807	9.79369	44.5831	12.5664	4.18879	8.59437	8.59438	7.92464	0.385487	-7.9038	0.425789	0	0	0	-2.79224	0	0	0	-88233.9
0.9	4269	8537.95	627.089	4.77468	5.76935	0	54.5007	64.0464	9.77957	44.5833	12.5663	4.18876	17.1887	8.59442	7.72761	0.314904	-7.71534	0.300354	0	0	0	-2.33725	-1.70755e-06	-1.70755e-06	-1.70755e-06	-541099
1.2	4382.19	8764.21	635.36	4.77475	5.82031	0	55.9458	64.8911	10.0387	44.5839	12.5661	4.18871	25.7831	8.59454	7.66006	0.517486	-7.64103	0.152696	0	0	0	-3.87442	-2.09131e-06	-2.09131e-06	-2.09131e-06	-175016
1.5	4293.55	8586.69	632.018	4.77488	5.67538	0	54.8141	64.5498	9.83539	44.5852	12.5658	4.18859	34.3776	8.59478	7.85589	0.391963	-7.84556	-0.0927894	0	0	0	-2.86011	0	0	0	-90806
1.8	4393.66	8786.45	639.794	4.77512	5.77786	0	56.0922	65.3439	10.0642	44.5874	12.5651	4.18838	42.9723	8.59522	7.71695	0.401136	-7.70644	-0.0348582	0	0	0	-2.97968	-4.43634e-06	-4.43634e-06	-4.43634e-06	-235747
2.1	4440.76	8879.91	643.158	4.77552	5.86424	0	56.6934	65.6876	10.1713	44.5911	12.5641	4.18803	51.5673	8.59593	7.6039	0.270953	-7.5986	-0.0851946	0	0	0	-2.0422	-6.15665e-06	-6.15665e-06	-6.15665e-06	-86673
2.4	4386.48	8770.28	642.597	4.77611	5.90119	0	56.0005	65.6303	10.0457	44.5966	12.5625	4.18751	60.1629	8.59699	7.55723	0.162685	-7.5553	-0.0511154	0	0	0	-1.23353	6.15665e-06	6.15665e-06	6.15665e-06	39949.5
2.7	4224.6	8445.15	635.898	4.77693	5.94885	0	53.9338	64.9461	9.67328	44.6043	12.5604	4.18679	68.7593	8.59848	7.49797	0.210519	-7.49451	-0.0865683	0	0	0	-1.609	4.8852e-05	4.8852e-05	4.8852e-05	451806
3	4171.28	8336.65	637.117	4.77803	5.88513	0	53.2531	65.0706	9.549	44.6146	12.5575	4.18582	77.3571	8.60046	7.58091	-0.0667252	-7.58009	-0.0892448	0	0	0	0.504344	0.000164056	0.000164056	0.000164056	1.2343e+06
3.3	4244.98	8481.34	641.866	4.77951	5.98171	0	54.194	65.5556	9.71472	44.6284	12.5536	4.18453	85.9565	8.60311	7.46081	-0.145402	-7.45916	0.0588565	0	0	0	1.11673	0.000232397	0.000232397	0.000232397	1.16319e+06
3.6	4224.61	8437.27	642.374	4.78141	5.89269	0	53.934	65.6075	9.66426	44.6462	12.5486	4.18286	94.5583	8.60654	7.57654	-0.105023	-7.57551	-0.0678805	0	0	0	0.79427	0.000243742	0.000243742	0.000243742	1.13004e+06
3.9	4178	8340.02	638.282	4.7838	5.97662	0	53.3389	65.1896	9.55285	44.6685	12.5423	4.18078	103.163	8.61084	7.47387	-0.210446	-7.4701	-0.109554	0	0	0	1.61369	0.000254278	0.000254278	0.000254278	833730
4.2	4053.2	8086.01	631.177	4.78669	6.12782	0	51.7456	64.464	9.26191	44.6954	12.5348	4.17825	111.772	8.61604	7.29386	-0.244251	-7.28875	0.121646	0	0	0	1.9193	0.000224577	0.000224577	0.000224577	719880
4.5	3949.87	7874.23	624.665	4.79011	6.2206	0	50.4264	63.7989	9.01933	44.7274	12.5258	4.17527	120.385	8.6222	7.19021	-0.19032	-7.18138	0.300895	0	0	0	1.51809	0.000143462	0.000143462	0.000143462	329699
4.8	3987.79	7943.06	624.372	4.79419	6.0714	0	50.9105	63.7689	9.09817	44.7655	12.5151	4.17171	129.004	8.62955	7.37318	-0.302428	-7.36264	0.252557	0	0	0	2.35216	-4.11232e-05	-4.11232e-05	-4.11232e-05	-61480.9
5.1	4016.65	7992.42	626.191	4.79907	6.18138	0	51.279	63.9547	9.15471	44.811	12.5024	4.16747	137.63	8.63832	7.24936	-0.255562	-7.23949	0.278692	0	0	0	2.02176	-0.00034794	-0.00034794	-0.00034794	-580816
5.4	4075.48	8099.74	629.693	4.80485	6.27159	0	52.0301	64.3123	9.27764	44.865	12.4874	4.16247	146.264	8.64872	7.15368	-0.378685	-7.139	0.257897	0	0	0	3.03638	-0.000599967	-0.000599967	-0.000599967	-721252
5.7	3975.31	7889.74	627.305	4.81149	6.20831	0	50.7512	64.0685	9.03709	44.927	12.4701	4.15671	154.908	8.66069	7.2366	-0.439647	-7.22002	0.215321	0	0	0	3.4846	-0.000954276	-0.000954276	-0.000954276	-1.18209e+06
6	4027.39	7980.48	630.679	4.8191	6.14513	0	51.4161	64.413	9.14103	44.9981	12.4505	4.15015	163.562	8.67438	7.32257	-0.151732	-7.31264	0.349526	0	0	0	1.18867	-0.000855275	-0.000855275	-0.000855275	-641141
6.3	3909.11	7732.33	624.08	4.82768	6.1403	0	49.906	63.7391	8.85679	45.0782	12.4283	4.14277	172.23	8.68983	7.34137	0.185243	-7.33393	0.273581	0	0	0	-1.44689	-7.83381e-05	-7.83381e-05	-7.83381e-05	-137465
6.6	3881.05	7661.7	629.051	4.83722	6.14172	0	49.5479	64.2468	8.77589	45.1673	12.4038	4.1346	180.912	8.707	7.35417	0.100096	-7.34128	0.423692	0	0	0	-0.781162	0.000167903	0.000167903	0.000167903	33464.7
6.9	4016.76	7911.79	640.959	4.84811	6.12767	0	51.2804	65.463	9.06235	45.269	12.3759	4.12532	189.61	8.7266	7.38763	0.282671	-7.36255	0.538512	0	0	0	-2.19868	0.00037698	0.00037698	0.00037698	299564
7.2	3973.05	7805.94	640.651	4.86038	6.03632	0	50.7224	65.4315	8.94111	45.3836	12.3447	4.1149	198.327	8.74869	7.51841	0.311075	-7.50349	0.356818	0	0	0	-2.37397	0.000764235	0.000764235	0.000764235	403478
7.5	3966.93	7772.25	641.523	4.87393	5.96996	0	50.6442	65.5206	8.90253	45.51	12.3104	4.10347	207.065	8.77307	7.62317	0.452226	-7.60936	0.0765851	0	0	0	-3.40111	0.000708066	0.000708066	0.000708066	511787
7.8	3868.33	7556.23	638.197	4.88866	6.05146	0	49.3855	65.1809	8.65509	45.6476	12.2733	4.0911	215.826	8.79959	7.54324	0.454528	-7.52952	-0.0139949	0	0	0	-3.45453	-6.27393e-06	-6.27393e-06	-6.27393e-06	-130760
8.1	3844.53	7485.31	637.952	4.90461	6.0862	0	49.0816	65.1559	8.57385	45.7965	12.2334	4.0778	224.612	8.8283	7.52464	0.538187	-7.50533	0.0247272	0	0	0	-4.1015	-0.000423275	-0.000423275	-0.000423275	-54587.2
8.4	3931.49	7627.26	644.8	4.92221	6.13674	0	50.1918	65.8553	8.73644	45.9609	12.1896	4.06321	233.426	8.85998	7.48946	0.482729	-7.47164	-0.183537	0	0	0	-3.69664	-0.000117393	-0.000117393	-0.000117393	-110952
8.7	3978.22	7687.49	651.402	4.94169	6.11666	0	50.7883	66.5296	8.80543	46.1428	12.1416	4.0472	242.27	8.89504	7.54378	0.440727	-7.53069	-0.0553741	0	0	0	-3.34936	-7.89129e-05	-7.89129e-05	-7.89129e-05	88541.1
9	4159.96	8003.45	666.956	4.96345	6.1086	0	53.1085	68.1181	9.16734	46.3459	12.0884	4.02946	251.148	8.9342	7.58699	0.576014	-7.56259	0.194687	0	0	0	-4.3556	0.000348723	0.000348723	0.000348723	273372
9.3	4168.47	7981.25	667.511	4.98743	6.16601	0	53.2172	68.1748	9.14191	46.5698	12.0302	4.01008	260.062	8.97738	7.55267	0.644804	-7.52509	-0.0111236	0	0	0	-4.89755	0.00123305	0.00123305	0.00123305	636002
9.6	4162.5	7928.81	666.793	5.01323	6.22062	0	53.141	68.1015	9.08185	46.8107	11.9683	3.98944	269.018	9.02381	7.5251	0.459145	-7.51101	-0.0330137	0	0	0	-3.49811	0.0018295	0.0018295	0.0018295	825709
9.9	4163.85	7887.91	669.702	5.04087	6.26554	0	53.1583	68.3986	9.035	47.0688	11.9027	3.96757	278.019	9.07356	7.51232	0.547909	-7.4919	0.0787262	0	0	0	-4.18279	0.00309357	0.00309357	0.00309357	1.17404e+06
10.2	4089.73	7702.82	668.829	5.0701	6.33038	0	52.212	68.3094	8.82299	47.3418	11.8341	3.9447	287.067	9.12618	7.47851	0.583442	-7.45275	0.210088	0	0	0	-4.4763	0.00313545	0.00313545	0.00313545	815570
10.5	4012.37	7511.83	667.003	5.10066	6.38061	0	51.2243	68.1229	8.60423	47.6271	11.7632	3.92106	296.167	9.18119	7.46435	0.600801	-7.43676	0.224058	0	0	0	-4.61879	0.00216718	0.00216718	0.00216718	675706
10.8	4002.23	7445.97	671.499	5.13277	6.46613	0	51.0949	68.5821	8.52879	47.927	11.6896	3.89653	305.321	9.23899	7.41201	0.676501	-7.36975	0.408646	0	0	0	-5.24473	0.00270444	0.00270444	0.00270444	562134
11.1	3995.6	7384.82	675.376	5.1667	6.38591	0	51.0102	68.9781	8.45875	48.2438	11.6128	3.87094	314.531	9.30006	7.55472	0.832652	-7.49947	0.371981	0	0	0	-6.33549	0.00311589	0.00311589	0.00311589	639816
11.4	4151.71	7619.47	689.301	5.20324	6.32597	0	53.0033	70.4003	8.72752	48.585	11.5313	3.84376	323.801	9.36584	7.68024	0.872763	-7.61821	0.432777	0	0	0	-6.53547	0.00146186	0.00146186	0.00146186	202378
11.7	4192.03	7635.7	695.357	5.2426	6.2327	0	53.518	71.0188	8.74612	48.9525	11.4447	3.8149	333.134	9.43668	7.85413	0.937359	-7.78095	0.515248	0	0	0	-6.86923	-0.00161183	-0.00161183	-0.00161183	-241660
12	4394.03	7939.17	713.56	5.28518	6.2854	0	56.0969	72.878	9.09371	49.3501	11.3525	3.78417	342.535	9.51332	7.85153	0.736785	-7.80984	0.331769	0	0	0	-5.38936	-0.00179818	-0.00179818	-0.00179818	-127160
12.3	4368.89	7826.48	718.398	5.3306	6.38056	0	55.7759	73.372	8.96464	49.7741	11.2558	3.75193	352.01	9.59507	7.8009	0.862626	-7.7497	0.228419	0	0	0	-6.3515	-0.000546647	-0.000546647	-0.000546647	-116243
12.6	4339.37	7705.46	722.777	5.37774	6.30804	0	55.3991	73.8192	8.82602	50.2143	11.1571	3.71903	1.56401	9.67993	7.96037	0.904926	-7.90708	0.163443	0	0	0	-6.52882	-0.00254252	-0.00254252	-0.00254252	-408884
12.9	4269.05	7512.72	722.64	5.42632	6.31717	0	54.5013	73.8053	8.60525	50.668	11.0572	3.68574	11.2015	9.76738	8.02067	0.784446	-7.98111	-0.133492	0	0	0	-5.61345	-0.00182787	-0.00182787	-0.00182787	-62936.5
13.2	4181.66	7292.28	721.868	5.47592	6.30239	0	53.3857	73.7264	8.35275	51.1311	10.9571	3.65236	20.9252	9.85665	8.11297	0.512874	-8.09597	-0.111486	0	0	0	-3.62481	0.00146527	0.00146527	0.00146527	160457
13.5	4127.68	7132.16	720.712	5.52658	6.29055	0	52.6965	73.6084	8.16934	51.6041	10.8566	3.61887	30.7372	9.94785	8.20344	0.627656	-8.17845	0.124169	0	0	0	-4.38857	0.00408457	0.00408457	0.00408457	806666
13.8	4182.7	7159.14	726.298	5.57914	6.21669	0	53.3989	74.1789	8.20025	52.0949	10.7543	3.58478	40.6394	10.0424	8.37985	0.378957	-8.37089	0.0796661	0	0	0	-2.59205	0.00673005	0.00673005	0.00673005	935636
14.1	4150.2	7034.82	727.719	5.63362	6.17665	0	52.984	74.3241	8.05785	52.6036	10.6503	3.55012	50.6346	10.1405	8.51653	0.0745372	-8.5162	0.000772229	0	0	0	-0.501463	0.00728122	0.00728122	0.00728122	1.17707e+06
