# Sensor: Rotor
# Record count: 404
# Storage mode: Memory
# Datetime of save: 2026-04-08T11:32:51
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
14.4	4127.09	6926.92	734.014	5.68951	6.15191	0	52.6889	74.9669	7.93426	53.1255	10.5457	3.51524	60.7261	10.2411	8.63561	-0.157385	-8.63417	0.0107957	0	0	0	1.04428	0.00865447	0.00865447	0.00865447	1.25183e+06
14.7	4362.15	7246.08	757.706	5.74869	6.21067	0	55.6899	77.3867	8.29983	53.6781	10.4372	3.47905	70.9169	10.3476	8.64288	-0.392518	-8.62983	-0.267113	0	0	0	2.60424	0.00545265	0.00545265	0.00545265	641966
15	4511.94	7413.45	772.962	5.81185	6.36892	0	57.6022	78.9448	8.49154	54.2678	10.3237	3.44124	81.2113	10.4613	8.52073	-0.328434	-8.50358	-0.429109	0	0	0	2.21184	0.00340867	0.00340867	0.00340867	833128
15.3	4629.08	7521.08	789.163	5.87741	6.52494	0	59.0977	80.5995	8.61483	54.88	10.2086	3.40286	91.6158	10.5793	8.4108	-0.512933	-8.37844	-0.529376	0	0	0	3.50331	0.00480028	0.00480028	0.00480028	465684
15.6	4791.03	7695.49	809.946	5.94517	6.54605	0	61.1652	82.7221	8.8146	55.5127	10.0922	3.36408	102.136	10.7013	8.48034	-0.744328	-8.43467	-0.467367	0	0	0	5.04308	-0.00341796	-0.00341796	-0.00341796	-232456
15.9	4841.35	7686.72	817.65	6.01446	6.57794	0	61.8076	83.5089	8.80455	56.1596	9.97596	3.32532	112.776	10.826	8.53758	-0.817193	-8.49608	-0.197406	0	0	0	5.49408	-0.00711496	-0.00711496	-0.00711496	-643830
16.2	4509.86	7082.06	803.099	6.081	6.50865	0	57.5756	82.0228	8.11196	56.781	9.8668	3.28893	123.54	10.9458	8.72392	-1.0291	-8.66294	-0.0338555	0	0	0	6.77459	-0.00781671	-0.00781671	-0.00781671	-1.20666e+06
16.5	4601.23	7149.9	821.347	6.14534	6.70395	0	58.7421	83.8865	8.18966	57.3817	9.7635	3.2545	134.426	11.0616	8.55939	-0.997941	-8.49984	-0.141292	0	0	0	6.69627	-0.014817	-0.014817	-0.014817	-1.60636e+06
16.8	4470.56	6876.04	821.948	6.20861	6.8098	0	57.0738	83.9479	7.87599	57.9725	9.664	3.22133	145.43	11.1755	8.5131	-0.878196	-8.46672	0.127578	0	0	0	5.92173	-0.00502984	-0.00502984	-0.00502984	-431436
17.1	4796.68	7302.15	847.257	6.2728	6.95002	0	61.2374	86.5328	8.36406	58.5719	9.5651	3.18837	156.548	11.291	8.4276	-0.810462	-8.3872	0.149589	0	0	0	5.5194	0.00820113	0.00820113	0.00820113	393800
17.4	4526.99	6822.55	832.687	6.33627	7.04931	0	57.7942	85.0447	7.81471	59.1645	9.46929	3.15643	167.782	11.4053	8.39296	-0.668303	-8.36629	-0.0187682	0	0	0	4.56712	0.00681398	0.00681398	0.00681398	739277
17.7	4650.88	6942.04	849.98	6.39763	7.18128	0	59.376	86.8109	7.95158	59.7375	9.37847	3.12616	179.13	11.5157	8.3185	-0.495018	-8.29908	-0.278584	0	0	0	3.41349	0.0127273	0.0127273	0.0127273	1.32677e+06
18	4849.62	7168.2	867.905	6.46054	7.19497	0	61.9132	88.6416	8.21063	60.3249	9.28715	3.09572	190.59	11.629	8.38431	-0.437831	-8.36394	-0.386617	0	0	0	2.99655	0.0126126	0.0126126	0.0126126	958529
18.3	4988.12	7299.89	883.855	6.52517	7.2476	0	63.6813	90.2707	8.36147	60.9284	9.19517	3.06506	202.163	11.7453	8.4067	-0.51412	-8.38726	-0.2493	0	0	0	3.50771	0.000225627	0.000225627	0.000225627	331930
18.6	4922.56	7134.21	884.84	6.58895	7.40998	0	62.8444	90.3712	8.1717	61.5239	9.10616	3.03539	213.85	11.8601	8.30285	-0.52215	-8.2845	-0.177997	0	0	0	3.60643	0.00977865	0.00977865	0.00977865	1.27469e+06
18.9	4708.26	6762.79	877.274	6.64822	7.51628	0	60.1085	89.5985	7.74626	62.0774	9.02497	3.00832	225.652	11.9668	8.25906	-0.515952	-8.2423	-0.101991	0	0	0	3.58193	0.00847729	0.00847729	0.00847729	297002
19.2	4471.01	6370.73	869.499	6.70175	7.59801	0	57.0796	88.8044	7.29718	62.5772	8.95289	2.9843	237.566	12.0631	8.236	-0.644511	-8.21062	0.0441201	0	0	0	4.48835	-0.0154778	-0.0154778	-0.0154778	-880901
19.5	4762.46	6733.17	895.175	6.75434	7.60282	0	60.8004	91.4268	7.71234	63.0682	8.88318	2.96106	249.581	12.1578	8.29537	-0.649334	-8.2697	-0.0606918	0	0	0	4.48964	-0.0183035	-0.0183035	-0.0183035	-1.55154e+06
19.8	4986.36	6992.18	922.724	6.80993	7.57369	0	63.6589	94.2404	8.00901	63.5873	8.81066	2.93689	261.691	12.2579	8.39582	-0.705112	-8.36307	-0.227605	0	0	0	4.81936	-0.0125739	-0.0125739	-0.0125739	-1.13571e+06
20.1	5126.22	7128.35	939.363	6.86719	7.66906	0	65.4444	95.9399	8.16499	64.122	8.73719	2.9124	273.899	12.3609	8.36114	-0.522799	-8.34436	-0.0830815	0	0	0	3.58507	-0.00920809	-0.00920809	-0.00920809	-1.07759e+06
20.4	5202.47	7174.39	950.919	6.92462	7.77421	0	66.4179	97.1201	8.21772	64.6582	8.66473	2.88824	286.209	12.4643	8.31702	-0.490872	-8.30107	-0.155414	0	0	0	3.38416	0.00767588	0.00767588	0.00767588	428649
20.7	5449.88	7452.63	977.809	6.9831	7.94333	0	69.5764	99.8664	8.53642	65.2043	8.59217	2.86406	298.621	12.5696	8.20869	-0.574642	-8.18511	-0.237299	0	0	0	4.01591	0.0207572	0.0207572	0.0207572	1.30404e+06
21	5200.9	7055.58	965.588	7.0391	8.00319	0	66.3978	98.6183	8.08163	65.7272	8.52382	2.84127	311.138	12.6704	8.21262	-0.436407	-8.19379	-0.344136	0	0	0	3.04873	0.00526915	0.00526915	0.00526915	258899
21.3	4849.2	6533.96	945.841	7.08704	7.94537	0	61.9078	96.6015	7.48415	66.1748	8.46616	2.82205	323.758	12.7567	8.32872	-0.0815043	-8.31321	-0.501623	0	0	0	0.561721	0.0105732	0.0105732	0.0105732	1.44114e+06
21.6	4853.15	6500.78	950.774	7.12902	7.97379	0	61.9583	97.1052	7.44615	66.5668	8.41631	2.80544	336.472	12.8322	8.34819	0.151996	-8.33949	-0.349441	0	0	0	-1.04416	0.0243681	0.0243681	0.0243681	1.04387e+06
21.9	4703.44	6266.49	939.545	7.16741	7.9732	0	60.0469	95.9584	7.17778	66.9253	8.37122	2.79041	349.266	12.9013	8.39378	0.394952	-8.3809	-0.245073	0	0	0	-2.69808	0.00261837	0.00261837	0.00261837	300727
22.2	4863.84	6447.06	956.121	7.20426	7.86986	0	62.0948	97.6513	7.38462	67.2693	8.32841	2.77614	2.13288	12.9677	8.54771	0.624968	-8.5228	-0.186372	0	0	0	-4.19394	-0.00637018	-0.00637018	-0.00637018	-533291
22.5	4935.85	6509.04	971.785	7.2413	8.01314	0	63.0141	99.2512	7.45561	67.6152	8.28581	2.76194	15.0674	13.0343	8.43805	0.530932	-8.41	-0.436546	0	0	0	-3.61235	-0.00959916	-0.00959916	-0.00959916	-930700
22.8	5086.4	6672.9	992.516	7.27892	8.14992	0	64.9361	101.369	7.6433	67.9665	8.24298	2.74766	28.0684	13.1021	8.33953	0.744283	-8.30054	-0.307857	0	0	0	-5.12382	-0.0261216	-0.0261216	-0.0261216	-1.93221e+06
23.1	5191.2	6774.49	1004.93	7.3175	8.41534	0	66.2741	102.636	7.75966	68.3268	8.19952	2.73317	41.1366	13.1715	8.11931	0.605217	-8.09305	-0.243927	0	0	0	-4.27675	-0.0140466	-0.0140466	-0.0140466	-772564
23.4	5204.95	6757.81	1005.18	7.35498	8.50795	0	66.4495	102.662	7.74056	68.6767	8.15774	2.71925	54.2734	13.239	8.07206	0.569547	-8.04807	-0.249871	0	0	0	-4.04797	-0.00386418	-0.00386418	-0.00386418	-479114
23.7	4869.92	6295.23	980.974	7.38724	8.56305	0	62.1724	100.19	7.2107	68.9779	8.12212	2.70737	67.4786	13.297	8.0553	0.347563	-8.04772	-0.0335065	0	0	0	-2.47294	-0.00693573	-0.00693573	-0.00693573	6949.74
24	4666.06	6011.43	969.33	7.41214	8.68943	0	59.5697	99.0005	6.88563	69.2104	8.09483	2.69828	80.7466	13.3418	7.96489	0.0202443	-7.96358	-0.143468	0	0	0	-0.145652	0.00620966	0.00620966	0.00620966	201428
24.3	4729.33	6074.58	975.891	7.43455	8.78586	0	60.3775	99.6705	6.95797	69.4197	8.07043	2.69014	94.066	13.3822	7.90129	-0.23763	-7.89696	-0.10919	0	0	0	1.72359	0.00187272	0.00187272	0.00187272	73491.6
24.6	4692.91	6009.92	977.485	7.45667	9.03641	0	59.9126	99.8334	6.88391	69.6262	8.04649	2.68216	107.428	13.422	7.70508	-0.388455	-7.69336	0.171854	0	0	0	2.89054	-0.00234169	-0.00234169	-0.00234169	-50043.1
24.9	4554.86	5818.08	974.59	7.47596	9.24216	0	58.1501	99.5376	6.66417	69.8063	8.02573	2.67524	120.83	13.4567	7.55304	-0.297431	-7.54468	0.194162	0	0	0	2.25758	0.0093788	0.0093788	0.0093788	432596
25.2	4751.61	6053.83	988.503	7.49517	9.34887	0	60.6619	100.959	6.9342	69.9857	8.00516	2.66839	134.27	13.4913	7.48601	-0.177402	-7.48237	0.15159	0	0	0	1.35819	-0.014443	-0.014443	-0.014443	-1.38784e+06
25.5	4860.71	6174.34	1001.72	7.51763	9.2492	0	62.0548	102.309	7.07223	70.1954	7.98124	2.66041	147.744	13.5317	7.58935	-0.257137	-7.58217	0.206778	0	0	0	1.94235	-0.0185438	-0.0185438	-0.0185438	-571641
25.8	5149.38	6518.75	1029.46	7.54332	9.30979	0	65.7401	105.142	7.46673	70.4353	7.95406	2.65135	161.255	13.578	7.56573	-0.172974	-7.55764	0.303799	0	0	0	1.31112	0.0166674	0.0166674	0.0166674	556552
26.1	5025.86	6340.19	1019.18	7.56971	9.24783	0	64.1631	104.092	7.26221	70.6817	7.92633	2.64211	174.81	13.6255	7.64306	-0.115375	-7.64008	0.179437	0	0	0	0.865176	0.00904125	0.00904125	0.00904125	608936
26.4	4748.82	5973.71	1001.87	7.59124	9.30036	0	60.6263	102.323	6.84243	70.8827	7.90385	2.63462	188.412	13.6642	7.6215	-0.0757444	-7.60339	0.519653	0	0	0	0.570757	-0.0024514	-0.0024514	-0.0024514	243466
26.7	4583.36	5753.6	988.766	7.60705	9.35993	0	58.514	100.985	6.5903	71.0304	7.88742	2.62914	202.056	13.6927	7.58877	-0.217425	-7.5739	0.422269	0	0	0	1.64434	0.0114898	0.0114898	0.0114898	838381
27	4824.81	6043.95	1010.18	7.62309	9.50495	0	61.5965	103.173	6.92288	71.1801	7.87083	2.62361	215.735	13.7216	7.48875	-0.315618	-7.4693	0.437283	0	0	0	2.41961	0.00515745	0.00515745	0.00515745	465941
27.3	4645.48	5807.07	999.829	7.63914	9.5804	0	59.307	102.115	6.65155	71.3301	7.85428	2.61809	229.442	13.7505	7.44542	-0.160692	-7.43168	0.422531	0	0	0	1.23869	-0.0143511	-0.0143511	-0.0143511	-718208
27.6	4347.67	5427.56	966.514	7.64933	9.55418	0	55.505	98.7128	6.21685	71.4252	7.84382	2.61461	243.178	13.7688	7.47581	-0.281824	-7.46051	0.385975	0	0	0	2.16335	-0.0219123	-0.0219123	-0.0219123	-1.21971e+06
27.9	4612.91	5751.46	985.557	7.65893	9.50968	0	58.8912	100.658	6.58786	71.5148	7.83399	2.61133	256.938	13.7861	7.52021	-0.250223	-7.51495	0.128264	0	0	0	1.90706	-0.0214108	-0.0214108	-0.0214108	-1.24834e+06
